dataset_index,image,depth_range,valid_pixels,mae_m,mae_cm,absrel_pct,delta1_pct,fps,peak_vram_gb,input_resolution,processed_resolution
6,2011_09_26_drive_0002_sync_image_0000000023_image_02.png,0-40m,96333,1.306941098963331,130.6941098963331,10.421760726244264,88.87297187879543,2.460168034360566,2.415170669555664,1216x352,1344x392
6,2011_09_26_drive_0002_sync_image_0000000023_image_02.png,0-80m,102683,1.717155758014779,171.71557580147788,10.692228812463544,88.70114819395616,2.460168034360566,2.415170669555664,1216x352,1344x392
7,2011_09_26_drive_0002_sync_image_0000000026_image_03.png,0-10m,40236,0.9335810975794266,93.35810975794267,11.873658075204679,75.79282234814593,2.4628327748610106,2.415170669555664,1216x352,1344x392
7,2011_09_26_drive_0002_sync_image_0000000026_image_03.png,0-20m,78867,1.0303644708085429,103.03644708085429,10.095833940311644,87.24941990946785,2.4628327748610106,2.415170669555664,1216x352,1344x392
7,2011_09_26_drive_0002_sync_image_0000000026_image_03.png,0-40m,93800,1.2167342561597763,121.67342561597762,9.741179311914387,88.93923240938166,2.4628327748610106,2.415170669555664,1216x352,1344x392
7,2011_09_26_drive_0002_sync_image_0000000026_image_03.png,0-80m,100410,1.6128476037220252,161.28476037220253,9.989772654832565,88.95727517179563,2.4628327748610106,2.415170669555664,1216x352,1344x392
8,2011_09_26_drive_0002_sync_image_0000000029_image_02.png,0-10m,54883,0.7074349493495864,70.74349493495863,9.282294656898832,91.13568864675766,2.4601165899456165,2.415170669555664,1216x352,1344x392
8,2011_09_26_drive_0002_sync_image_0000000029_image_02.png,0-20m,96017,0.7271053382652799,72.71053382652799,7.695990026380232,94.82383327952341,2.4601165899456165,2.415170669555664,1216x352,1344x392
8,2011_09_26_drive_0002_sync_image_0000000029_image_02.png,0-40m,110870,0.8554479803849333,85.54479803849333,7.427517909698575,95.14476413817985,2.4601165899456165,2.415170669555664,1216x352,1344x392
8,2011_09_26_drive_0002_sync_image_0000000029_image_02.png,0-80m,117525,1.1263478094505468,112.63478094505469,7.6022609816455535,95.15166985747713,2.4601165899456165,2.415170669555664,1216x352,1344x392
9,2011_09_26_drive_0002_sync_image_0000000032_image_03.png,0-10m,49030,0.9599875664385197,95.99875664385196,12.56289716341798,83.50601672445441,2.4636051609861815,2.415170669555664,1216x352,1344x392
9,2011_09_26_drive_0002_sync_image_0000000032_image_03.png,0-20m,90296,0.8784661350907601,87.84661350907601,9.523508033345554,91.00846106139807,2.4636051609861815,2.415170669555664,1216x352,1344x392
9,2011_09_26_drive_0002_sync_image_0000000032_image_03.png,0-40m,104952,1.001004350413472,100.1004350413472,9.031591297714305,91.95918134004117,2.4636051609861815,2.415170669555664,1216x352,1344x392
9,2011_09_26_drive_0002_sync_image_0000000032_image_03.png,0-80m,111074,1.277404551206651,127.7404551206651,9.151840992187752,92.10076165439257,2.4636051609861815,2.415170669555664,1216x352,1344x392
10,2011_09_26_drive_0002_sync_image_0000000035_image_02.png,0-10m,55623,0.7216221673150468,72.16221673150469,9.332590384645233,88.08226812649444,2.450435650599748,2.415170669555664,1216x352,1344x392
10,2011_09_26_drive_0002_sync_image_0000000035_image_02.png,0-20m,99501,0.6887076154567336,68.87076154567336,7.40091445182628,93.32971527924342,2.450435650599748,2.415170669555664,1216x352,1344x392
10,2011_09_26_drive_0002_sync_image_0000000035_image_02.png,0-40m,114999,0.8190802174805195,81.90802174805195,7.172860403286084,93.88951208271376,2.450435650599748,2.415170669555664,1216x352,1344x392
10,2011_09_26_drive_0002_sync_image_0000000035_image_02.png,0-80m,121507,1.0464883582226083,104.64883582226084,7.291548852343678,94.0826454442954,2.450435650599748,2.415170669555664,1216x352,1344x392
11,2011_09_26_drive_0002_sync_image_0000000038_image_03.png,0-10m,50943,0.9282267021631634,92.82267021631634,12.080346282051707,84.36291541526805,2.458935772509324,2.415170669555664,1216x352,1344x392
11,2011_09_26_drive_0002_sync_image_0000000038_image_03.png,0-20m,91518,0.8705692268751226,87.05692268751226,9.417021987693246,91.2946087108547,2.458935772509324,2.415170669555664,1216x352,1344x392
11,2011_09_26_drive_0002_sync_image_0000000038_image_03.png,0-40m,107056,1.0015736110825797,100.15736110825797,8.938310205854187,92.16298012255268,2.458935772509324,2.415170669555664,1216x352,1344x392
11,2011_09_26_drive_0002_sync_image_0000000038_image_03.png,0-80m,113247,1.2448968681767894,124.48968681767893,9.007599929055639,92.43070456612537,2.458935772509324,2.415170669555664,1216x352,1344x392
12,2011_09_26_drive_0002_sync_image_0000000041_image_02.png,0-10m,59869,0.8516500822958444,85.16500822958444,11.28469262408603,88.80722911690523,2.458337932407544,2.415170669555664,1216x352,1344x392
12,2011_09_26_drive_0002_sync_image_0000000041_image_02.png,0-20m,101215,0.7399644016777875,73.99644016777876,8.539013881148664,93.37746381465197,2.458337932407544,2.415170669555664,1216x352,1344x392
12,2011_09_26_drive_0002_sync_image_0000000041_image_02.png,0-40m,118484,0.8997706830076974,89.97706830076973,8.27571880667649,93.89622227473751,2.458337932407544,2.415170669555664,1216x352,1344x392
12,2011_09_26_drive_0002_sync_image_0000000041_image_02.png,0-80m,124397,1.0933009157250013,109.33009157250014,8.309618376255749,93.90178219731987,2.458337932407544,2.415170669555664,1216x352,1344x392
13,2011_09_26_drive_0002_sync_image_0000000044_image_03.png,0-10m,55607,0.940342952735749,94.0342952735749,12.48238182194066,87.31095006024422,2.451861980858051,2.415170669555664,1216x352,1344x392
13,2011_09_26_drive_0002_sync_image_0000000044_image_03.png,0-20m,95638,0.8520113024758177,85.20113024758177,9.581429680041174,92.39737342897175,2.451861980858051,2.415170669555664,1216x352,1344x392
13,2011_09_26_drive_0002_sync_image_0000000044_image_03.png,0-40m,111025,0.9435024164754295,94.35024164754296,9.023235000366379,93.0961495158748,2.451861980858051,2.415170669555664,1216x352,1344x392
13,2011_09_26_drive_0002_sync_image_0000000044_image_03.png,0-80m,116753,1.0813001194689487,108.13001194689487,8.922238275296033,93.37147653593483,2.451861980858051,2.415170669555664,1216x352,1344x392
14,2011_09_26_drive_0002_sync_image_0000000047_image_02.png,0-10m,57351,0.6842372628177537,68.42372628177536,9.079596819953053,95.92683649805583,2.439965264696773,2.415170669555664,1216x352,1344x392
14,2011_09_26_drive_0002_sync_image_0000000047_image_02.png,0-20m,97646,0.6965724050374843,69.65724050374843,7.4047397798030286,97.13557134956885,2.439965264696773,2.415170669555664,1216x352,1344x392
14,2011_09_26_drive_0002_sync_image_0000000047_image_02.png,0-40m,113413,0.8259923720771206,82.59923720771206,7.20868063623558,97.46678070415207,2.439965264696773,2.415170669555664,1216x352,1344x392
14,2011_09_26_drive_0002_sync_image_0000000047_image_02.png,0-80m,120159,1.0360672334359216,103.60672334359215,7.272336435827357,97.37098344693281,2.439965264696773,2.415170669555664,1216x352,1344x392
15,2011_09_26_drive_0002_sync_image_0000000050_image_03.png,0-10m,45040,1.0962535753237417,109.62535753237417,14.64026416062426,84.94005328596803,2.4510813189541727,2.415170669555664,1216x352,1344x392
15,2011_09_26_drive_0002_sync_image_0000000050_image_03.png,0-20m,87072,0.9312692848703346,93.12692848703345,10.403814930919683,92.17429253950753,2.4510813189541727,2.415170669555664,1216x352,1344x392
15,2011_09_26_drive_0002_sync_image_0000000050_image_03.png,0-40m,102090,0.9693084186059229,96.93084186059228,9.516777704694848,93.24125771378195,2.4510813189541727,2.415170669555664,1216x352,1344x392
15,2011_09_26_drive_0002_sync_image_0000000050_image_03.png,0-80m,108349,1.140631324415393,114.0631324415393,9.384181417165879,93.50709282042288,2.4510813189541727,2.415170669555664,1216x352,1344x392
16,2011_09_26_drive_0002_sync_image_0000000053_image_02.png,0-10m,52811,0.777905621441675,77.7905621441675,10.324116786115571,97.3603984018481,2.452275650413757,2.415170669555664,1216x352,1344x392
16,2011_09_26_drive_0002_sync_image_0000000053_image_02.png,0-20m,91760,0.7040426598597114,70.40426598597114,7.86975593296735,98.47972972972973,2.452275650413757,2.415170669555664,1216x352,1344x392
16,2011_09_26_drive_0002_sync_image_0000000053_image_02.png,0-40m,106818,0.7852542437991754,78.52542437991754,7.4227535874104955,98.58263588533768,2.452275650413757,2.415170669555664,1216x352,1344x392
16,2011_09_26_drive_0002_sync_image_0000000053_image_02.png,0-80m,113327,1.0260211998151518,102.60211998151519,7.520703725657034,98.28461002232478,2.452275650413757,2.415170669555664,1216x352,1344x392
17,2011_09_26_drive_0002_sync_image_0000000056_image_03.png,0-10m,50907,0.7292423760843892,72.92423760843893,9.603623813091621,92.30361246979787,2.443675121217861,2.415170669555664,1216x352,1344x392
17,2011_09_26_drive_0002_sync_image_0000000056_image_03.png,0-20m,90530,0.6963098557920044,69.63098557920044,7.544177604215088,95.65006075334144,2.443675121217861,2.415170669555664,1216x352,1344x392
17,2011_09_26_drive_0002_sync_image_0000000056_image_03.png,0-40m,106081,0.7739223146387805,77.39223146387805,7.085967917341125,96.24437929506698,2.443675121217861,2.415170669555664,1216x352,1344x392
17,2011_09_26_drive_0002_sync_image_0000000056_image_03.png,0-80m,112056,0.9857724955397346,98.57724955397346,7.187719461443414,96.12693653173413,2.443675121217861,2.415170669555664,1216x352,1344x392
18,2011_09_26_drive_0002_sync_image_0000000059_image_02.png,0-10m,52140,0.7338273643944334,73.38273643944333,9.67754744112,92.78289221327196,2.452203488817477,2.415170669555664,1216x352,1344x392
18,2011_09_26_drive_0002_sync_image_0000000059_image_02.png,0-20m,92671,0.710691505210091,71.06915052100909,7.622949577445344,95.79372187631515,2.452203488817477,2.415170669555664,1216x352,1344x392
18,2011_09_26_drive_0002_sync_image_0000000059_image_02.png,0-40m,107906,0.8081440880082392,80.81440880082393,7.256187406180327,96.21707782699758,2.452203488817477,2.415170669555664,1216x352,1344x392
18,2011_09_26_drive_0002_sync_image_0000000059_image_02.png,0-80m,113530,0.9725157222883886,97.25157222883885,7.283479335934197,96.03276666960274,2.452203488817477,2.415170669555664,1216x352,1344x392
19,2011_09_26_drive_0002_sync_image_0000000062_image_03.png,0-10m,48872,0.7554276553771562,75.54276553771561,9.881178022863253,91.90129317400556,2.450757541311502,2.415170669555664,1216x352,1344x392
