dataset_index,depth_range,valid_pixels,mae_m,mae_cm,absrel_pct,delta1_pct,fps,peak_vram_gb,input_resolution,processed_resolution
42,0-6m,307200,0.4238693913355625,42.386939133556254,16.45987242481125,91.1298828125,0.28718891875793867,3.3480396270751953,640x480,1344x1008
42,0-10m,307200,0.4238693913355625,42.386939133556254,16.45987242481125,91.1298828125,0.28718891875793867,3.3480396270751953,640x480,1344x1008
43,0-3m,291737,0.2624259119666568,26.242591196665682,14.867069450954624,85.48829939294639,0.2621302613360652,3.3480396270751953,640x480,1344x1008
43,0-6m,306639,0.3835731170214384,38.35731170214384,17.161682969695477,81.33375076229703,0.2621302613360652,3.3480396270751953,640x480,1344x1008
43,0-10m,307200,0.3925959846713037,39.25959846713037,17.269685970388828,81.18522135416667,0.2621302613360652,3.3480396270751953,640x480,1344x1008
44,0-3m,307200,0.22376363472101124,22.376363472101126,15.514244727355983,93.79720052083333,0.2688210125982238,3.3480396270751953,640x480,1344x1008
44,0-6m,307200,0.22376363472101124,22.376363472101126,15.514244727355983,93.79720052083333,0.2688210125982238,3.3480396270751953,640x480,1344x1008
44,0-10m,307200,0.22376363472101124,22.376363472101126,15.514244727355983,93.79720052083333,0.2688210125982238,3.3480396270751953,640x480,1344x1008
45,0-3m,307200,0.15820221310733662,15.820221310733661,11.408938073697659,83.70963541666666,0.28017571612287684,3.3480396270751953,640x480,1344x1008
45,0-6m,307200,0.15820221310733662,15.820221310733661,11.408938073697659,83.70963541666666,0.28017571612287684,3.3480396270751953,640x480,1344x1008
45,0-10m,307200,0.15820221310733662,15.820221310733661,11.408938073697659,83.70963541666666,0.28017571612287684,3.3480396270751953,640x480,1344x1008
46,0-3m,290201,0.2879609020163706,28.79609020163706,14.591615990657317,81.0241866844015,0.28504856700098535,3.3480396270751953,640x480,1344x1008
46,0-6m,307200,0.36046328597023,36.046328597023,16.573655207590406,76.54069010416666,0.28504856700098535,3.3480396270751953,640x480,1344x1008
46,0-10m,307200,0.36046328597023,36.046328597023,16.573655207590406,76.54069010416666,0.28504856700098535,3.3480396270751953,640x480,1344x1008
47,0-3m,307200,0.17029754303221126,17.029754303221125,10.325254862951724,96.21614583333333,0.2536030655548795,3.3480396270751953,640x480,1344x1008
47,0-6m,307200,0.17029754303221126,17.029754303221125,10.325254862951724,96.21614583333333,0.2536030655548795,3.3480396270751953,640x480,1344x1008
47,0-10m,307200,0.17029754303221126,17.029754303221125,10.325254862951724,96.21614583333333,0.2536030655548795,3.3480396270751953,640x480,1344x1008
48,0-3m,307200,0.29540250231841736,29.540250231841735,18.573822663060977,81.4736328125,0.2686744745974992,3.3480396270751953,640x480,1344x1008
48,0-6m,307200,0.29540250231841736,29.540250231841735,18.573822663060977,81.4736328125,0.2686744745974992,3.3480396270751953,640x480,1344x1008
48,0-10m,307200,0.29540250231841736,29.540250231841735,18.573822663060977,81.4736328125,0.2686744745974992,3.3480396270751953,640x480,1344x1008
49,0-3m,250364,0.5470479588757268,54.70479588757268,21.438318583358818,69.3602115320094,0.23729376146656186,3.3480396270751953,640x480,1344x1008
49,0-6m,307200,0.5871768263735188,58.71768263735188,22.002653043009587,64.5791015625,0.23729376146656186,3.3480396270751953,640x480,1344x1008
49,0-10m,307200,0.5871768263735188,58.71768263735188,22.002653043009587,64.5791015625,0.23729376146656186,3.3480396270751953,640x480,1344x1008
50,0-3m,306346,0.4287594319211741,42.87594319211741,19.174368335619953,74.3515502079348,0.24324340956830404,3.3480396270751953,640x480,1344x1008
50,0-6m,307200,0.4298393489063407,42.98393489063407,19.196502639245832,74.14518229166667,0.24324340956830404,3.3480396270751953,640x480,1344x1008
50,0-10m,307200,0.4298393489063407,42.98393489063407,19.196502639245832,74.14518229166667,0.24324340956830404,3.3480396270751953,640x480,1344x1008
51,0-3m,229299,0.42167155200165246,42.16715520016525,19.858705782672114,65.65052616888866,0.26307778063082893,3.3480396270751953,640x480,1344x1008
51,0-6m,307200,0.554558695392916,55.455869539291605,20.93333855504432,64.03841145833333,0.26307778063082893,3.3480396270751953,640x480,1344x1008
51,0-10m,307200,0.554558695392916,55.455869539291605,20.93333855504432,64.03841145833333,0.26307778063082893,3.3480396270751953,640x480,1344x1008
52,0-3m,218827,0.530307239911625,53.030723991162496,24.905720803479902,59.09142838863577,0.2770098219087374,3.3480396270751953,640x480,1344x1008
52,0-6m,307200,0.5909333458548645,59.093334585486446,23.044003969014707,67.015625,0.2770098219087374,3.3480396270751953,640x480,1344x1008
52,0-10m,307200,0.5909333458548645,59.093334585486446,23.044003969014707,67.015625,0.2770098219087374,3.3480396270751953,640x480,1344x1008
53,0-3m,260631,0.484463815619683,48.4463815619683,22.948751725753358,76.873050404595,0.28542043314661536,3.3480396270751953,640x480,1344x1008
53,0-6m,307200,0.5211356941728931,52.113569417289305,22.21763323575523,77.41438802083334,0.28542043314661536,3.3480396270751953,640x480,1344x1008
53,0-10m,307200,0.5211356941728931,52.113569417289305,22.21763323575523,77.41438802083334,0.28542043314661536,3.3480396270751953,640x480,1344x1008
54,0-3m,307003,0.4089339898017738,40.89339898017738,18.16607475534686,84.24999104243281,0.2884250110983612,3.3480396270751953,640x480,1344x1008
54,0-6m,307200,0.4090919608514135,40.90919608514135,18.168392651443543,84.26009114583334,0.2884250110983612,3.3480396270751953,640x480,1344x1008
54,0-10m,307200,0.4090919608514135,40.90919608514135,18.168392651443543,84.26009114583334,0.2884250110983612,3.3480396270751953,640x480,1344x1008
55,0-3m,276294,0.17992046507381507,17.992046507381506,8.915595611314277,98.98658675179338,0.28782750704529014,3.3480396270751953,640x480,1344x1008
55,0-6m,307200,0.19557388428928485,19.557388428928483,9.091761390461224,99.08854166666666,0.28782750704529014,3.3480396270751953,640x480,1344x1008
55,0-10m,307200,0.19557388428928485,19.557388428928483,9.091761390461224,99.08854166666666,0.28782750704529014,3.3480396270751953,640x480,1344x1008
56,0-3m,307200,0.22112476575324155,22.112476575324155,15.03147721388948,83.69173177083333,0.28634808857314525,3.3480396270751953,640x480,1344x1008
56,0-6m,307200,0.22112476575324155,22.112476575324155,15.03147721388948,83.69173177083333,0.28634808857314525,3.3480396270751953,640x480,1344x1008
56,0-10m,307200,0.22112476575324155,22.112476575324155,15.03147721388948,83.69173177083333,0.28634808857314525,3.3480396270751953,640x480,1344x1008
57,0-3m,307200,0.1599188139194545,15.991881391945451,8.63989822804672,99.65266927083334,0.2777295454139021,3.3480396270751953,640x480,1344x1008
